clues,cl_treatmentArm,cl_cov_movi,cl_cov_telcel,cl_cov_moviPct,cl_cov_telcelPct,cl_inst_clCat,cl_ent_clave_clCat,cl_ent_nombre_clCat,cl_jur_clave_clCat,cl_jur_nombre_clCat,cl_mun_clave_clCat,cl_mun_nombre_clCat,cl_loc_clave_clCat,cl_loc_nombre_clCat,cl_clase_nombre_clCat,cl_tipo_nombre_clCat,cl_nombre_clCat,cl_domicilio_clCat,cl_cp_clCat,cl_longitude,cl_latitude,cl_altitude
CSIMO003110,3,0,1,0.001512859,1,IMSS-PROSPERA,7,CHIAPAS,1,TUXTLA GUTIERREZ,61,OCOZOCOAUTLA DE ESPINOSA,113,OCUILAPA DE JUÁREZ,UNIDAD DE CONSULTA EXTERNA,NO ESPECIFICADO,OCUILAPA DE JUÁREZ,DOMICILIO CONOCIDO    ,29143,-93.41111111,16.85194444,940
CSIMO003151,2,0,1,0,0.875710249,IMSS-PROSPERA,7,CHIAPAS,1,TUXTLA GUTIERREZ,61,OCOZOCOAUTLA DE ESPINOSA,679,LINDAVISTA,UNIDAD DE CONSULTA EXTERNA,NO ESPECIFICADO,LINDAVISTA,DOMICILIO CONOCIDO    ,00000,-93.66444444,17.09972222,340
CSIMO003204,0,0,1,0,1,IMSS-PROSPERA,7,CHIAPAS,1,TUXTLA GUTIERREZ,63,OSUMACINTA,1,OSUMACINTA,UNIDAD DE CONSULTA EXTERNA,NO ESPECIFICADO,OSUMACINTA,DOMICILIO CONOCIDO    ,29190,-93.09305556,16.94027778,500
CSIMO003250,0,0,1,0,1,IMSS-PROSPERA,7,CHIAPAS,2,SAN CRISTÓBAL DE LAS CASAS,64,OXCHUC,35,TZUNÚN,UNIDAD DE CONSULTA EXTERNA,NO ESPECIFICADO,TZUNÚN,DOMICILIO CONOCIDO    ,29953,-92.37361111,16.84083333,1880
CSIMO003682,0,1,1,1,1,IMSS-PROSPERA,7,CHIAPAS,5,PICHUCALCO,74,REFORMA,6,CRISTO REY,UNIDAD DE CONSULTA EXTERNA,NO ESPECIFICADO,CRISTO REY,DOMICILIO CONOCIDO    ,29506,-93.27638889,17.83805556,40
CSIMO004155,1,1,1,1,1,IMSS-PROSPERA,7,CHIAPAS,7,TAPACHULA,87,SUCHIATE,2,BARRA DE CAHOACÁN (EL CHICAL),UNIDAD DE CONSULTA EXTERNA,NO ESPECIFICADO,BARRA DE CAHOACÁN (EL CHICAL),DOMICILIO CONOCIDO    ,30675,-92.30305556,14.64333333,21
CSIMO004196,0,0,1,0.19411765,1,IMSS-PROSPERA,7,CHIAPAS,7,TAPACHULA,87,SUCHIATE,14,LA LIBERTAD,UNIDAD DE CONSULTA EXTERNA,NO ESPECIFICADO,LA LIBERTAD (SUCHIATE),DOMICILIO CONOCIDO    ,30660,-92.19333333,14.59166667,10
CSIMO004686,0,0,1,0,1,IMSS-PROSPERA,7,CHIAPAS,8,TONALÁ,97,TONALÁ,17,TRES PICOS,UNIDAD DE CONSULTA EXTERNA,NO ESPECIFICADO,TRES PICOS,DOMICILIO CONOCIDO    ,30515,-93.52694444,15.87916667,20
CSIMO004703,0,0,1,0,1,IMSS-PROSPERA,7,CHIAPAS,8,TONALÁ,97,TONALÁ,24,HUIZACHAL,UNIDAD DE CONSULTA EXTERNA,NO ESPECIFICADO,HUIZACHAL,DOMICILIO CONOCIDO    ,30503,-93.79888889,16.05166667,20
CSIMO004744,0,0,1,0,1,IMSS-PROSPERA,7,CHIAPAS,8,TONALÁ,97,TONALÁ,72,MIGUEL HIDALGO NÚMERO DOS (VEINTE DE NOVIEMBRE),UNIDAD DE CONSULTA EXTERNA,NO ESPECIFICADO,MIGUEL HIDALGO NÚMERO DOS (20 DE NOVIEMBRE),DOMICILIO CONOCIDO    ,30504,-93.81,15.95305556,10
CSIMO005234,1,0,1,0,1,IMSS-PROSPERA,7,CHIAPAS,1,TUXTLA GUTIERREZ,106,VENUSTIANO CARRANZA,40,RICARDO FLORES MAGÓN,UNIDAD DE CONSULTA EXTERNA,NO ESPECIFICADO,RICARDO FLORES MAGÓN (VENUSTIANO CARRANZA),DOMICILIO CONOCIDO    ,30300,-92.69583333,16.39416667,470
CSIMO005316,0,0,1,0,1,IMSS-PROSPERA,7,CHIAPAS,4,VILLAFLORES,107,VILLA CORZO,200,REVOLUCIÓN MEXICANA,UNIDAD DE CONSULTA EXTERNA,NO ESPECIFICADO,REVOLUCIÓN MEXICANA,DOMICILIO CONOCIDO    ,30533,-93.07472222,16.17055556,540
CSIMO005386,0,0,1,0,0.993765771,IMSS-PROSPERA,7,CHIAPAS,4,VILLAFLORES,8,ANGEL ALBINO CORZO,16,NUEVA PALESTINA,UNIDAD DE CONSULTA EXTERNA,NO ESPECIFICADO,PALESTINA,DOMICILIO CONOCIDO    ,30375,-92.74972222,15.80527778,730
CSIMO005490,2,0,1,0,0.95256561,IMSS-PROSPERA,7,CHIAPAS,4,VILLAFLORES,108,VILLAFLORES,176,NUEVO MÉXICO,UNIDAD DE CONSULTA EXTERNA,NO ESPECIFICADO,NUEVO MÉXICO (VILLAFLORES),DOMICILIO CONOCIDO    ,30496,-93.43805556,16.46805556,640
CSIMO005531,2,0,1,0,0.990946651,IMSS-PROSPERA,7,CHIAPAS,4,VILLAFLORES,108,VILLAFLORES,664,GUADALUPE VICTORIA,UNIDAD DE CONSULTA EXTERNA,NO ESPECIFICADO,GUADALUPE VICTORIA (VILLAFLORES),DOMICILIO CONOCIDO    ,00000,-93.13916667,16.34777778,550
CSSSA000033,1,0,1,0,1,SSA,7,CHIAPAS,7,TAPACHULA,1,ACACOYAGUA,131,LAS BRISAS,UNIDAD DE CONSULTA EXTERNA,RURAL DE 01 NÚCLEO BÁSICO,LAS BRISAS,CENTRAL CHIAPAS A 200 MTS DE LA CARRETERA FEDERAL HACIA LAS PALMAS   LAS BRISAS ,30590,-92.68722222,15.345,75
CSSSA000050,3,0,1,0.019033194,1,SSA,7,CHIAPAS,1,TUXTLA GUTIERREZ,2,ACALA,1,ACALA,UNIDAD DE CONSULTA EXTERNA,RURAL DE 03 NÚCLEOS BÁSICOS Y MÁS,VILLA DE ACALA,AVENIDA MARIANO NANGO 10  BARRIO CANDELARIA ,29370,-92.80555556,16.55611111,420
CSSSA000103,0,0,1,0,1,SSA,7,CHIAPAS,7,TAPACHULA,3,ACAPETAHUA,61,LAS MURALLAS,UNIDAD DE CONSULTA EXTERNA,RURAL DE 01 NÚCLEO BÁSICO,EJIDO LAS MURALLAS,NO DISPONIBLE    ,30580,-92.84722222,15.26833333,20
CSSSA000436,2,0,1,0,1,SSA,7,CHIAPAS,4,VILLAFLORES,8,ANGEL ALBINO CORZO,15,NUEVA INDEPENDENCIA,UNIDAD DE CONSULTA EXTERNA,RURAL DE 01 NÚCLEO BÁSICO,NUEVA INDEPENDENCIA,FRENTE A LA ESCUELA TELESECUNDARIA   BARRIO SAN JOSÉ ,30495,-92.57444444,15.67305556,830
CSSSA000465,1,0,1,0,1,SSA,7,CHIAPAS,8,TONALÁ,9,ARRIAGA,1,ARRIAGA,UNIDAD DE CONSULTA EXTERNA,URBANO DE 06 NÚCLEOS BÁSICOS,ARRIAGA,SEGUNDA SUR Y TERCERA PONIENTE SIN NÚMERO  CENTRO ,30450,-93.89861111,16.23388889,60
CSSSA000506,2,0,1,0,1,SSA,7,CHIAPAS,8,TONALÁ,9,ARRIAGA,46,LA GLORIA,UNIDAD DE CONSULTA EXTERNA,RURAL DE 01 NÚCLEO BÁSICO,PESQUERÍA LA GLORIA,NUEVO POBLADO LA GLORIA    ,30450,-94.09305556,16.14972222,5
CSSSA000576,0,0,1,0,1,SSA,7,CHIAPAS,10,MOTOZINTLA,10,BEJUCAL DE OCAMPO,19,OJO DE AGUA CENTRO,UNIDAD DE CONSULTA EXTERNA,RURAL DE 01 NÚCLEO BÁSICO,OJO DE AGUA CENTRO,NO DISPONIBLE    ,30950,-92.17277778,15.49861111,2240
CSSSA000774,0,1,1,1,1,SSA,7,CHIAPAS,7,TAPACHULA,15,CACAHOATÁN,1,CACAHOATÁN,UNIDAD DE CONSULTA EXTERNA,RURAL DE 03 NÚCLEOS BÁSICOS Y MÁS,CACAHOATÁN,NO DISPONIBLE 20   ,30890,-92.16527778,14.98916667,480
CSSSA000844,3,1,1,0.999811172,0.999811172,SSA,7,CHIAPAS,1,TUXTLA GUTIERREZ,17,CINTALAPA,1,CINTALAPA DE FIGUEROA,UNIDAD DE CONSULTA EXTERNA,URBANO DE 01 NÚCLEOS BÁSICOS,CINTALAPA,NO DISPONIBLE   BARRIO SANTO DOMINGO ,30400,-93.72166667,16.695,520
CSSSA000890,3,0,1,0,0.83716321,SSA,7,CHIAPAS,1,TUXTLA GUTIERREZ,17,CINTALAPA,95,POMPOSO CASTELLANOS,UNIDAD DE CONSULTA EXTERNA,RURAL DE 01 NÚCLEO BÁSICO,POMPOSO CASTELLANOS,AVENIDA SEGUNDA NORTE PONIENTE ENTRE CALLE CENTRAL NORTE    ,30400,-93.86777778,16.59,610
CSSSA001001,3,0,1,0,1,SSA,7,CHIAPAS,1,TUXTLA GUTIERREZ,18,COAPILLA,13,BUENAVISTA (MATASANOS),UNIDAD DE CONSULTA EXTERNA,RURAL DE 01 NÚCLEO BÁSICO,LIC. BUENAVISTA MATA SANOS,NO DISPONIBLE    ,29650,-93.06694444,17.10666667,1400
CSSSA001042,0,1,1,1,1,SSA,7,CHIAPAS,3,COMITÁN,19,COMITÁN DE DOMÍNGUEZ,1,COMITÁN DE DOMÍNGUEZ,UNIDAD DE CONSULTA EXTERNA,URBANO DE 12 NÚCLEOS BÁSICOS Y MÁS,COMITÁN DE DOMÍNGUEZ,NULL,30000,-92.13416667,16.25111111,1630
CSSSA001182,0,0,1,0,1,SSA,7,CHIAPAS,4,VILLAFLORES,20,LA CONCORDIA,1,LA CONCORDIA,UNIDAD DE CONSULTA EXTERNA,CENTRO DE SALUD CON HOSPITALIZACIÓN,NUEVA CONCORDIA,PRIMERA ORIENTE Y SEGUNDA NORTE SIN NÚMERO  CENTRO ,30360,-92.68888889,16.11611111,540
CSSSA001252,1,0,1,0,0.991304338,SSA,7,CHIAPAS,4,VILLAFLORES,20,LA CONCORDIA,29,REFORMA,UNIDAD DE CONSULTA EXTERNA,RURAL DE 01 NÚCLEO BÁSICO,REFORMA,FRENTE AL PARQUE CENTRAL DE LA COLONIA    ,30495,-92.66472222,15.9175,530
CSSSA001276,0,0,1,0,1,SSA,7,CHIAPAS,4,VILLAFLORES,20,LA CONCORDIA,114,DIAMANTE DE ECHEVERRÍA,UNIDAD DE CONSULTA EXTERNA,RURAL DE 01 NÚCLEO BÁSICO,DIAMANTE DE ECHEVERRÍA,FRENTE AL PARQUE CENTRAL    ,30495,-92.88027778,16.11361111,550
CSSSA001281,3,0,0,0,0.531972051,SSA,7,CHIAPAS,4,VILLAFLORES,20,LA CONCORDIA,145,EL ÁMBAR (EL ÁMBAR DE ECHEVERRÍA),UNIDAD DE CONSULTA EXTERNA,RURAL DE 02 NÚCLEOS BÁSICOS,EL ÁMBAR DE ECHEVERRÍA,FRENTE AL PARQUE CENTRAL    ,30360,-92.83333333,16.0975,550
CSSSA001322,3,0,1,0,1,SSA,7,CHIAPAS,1,TUXTLA GUTIERREZ,21,COPAINALÁ,1,COPAINALÁ,UNIDAD DE CONSULTA EXTERNA,CENTRO DE SALUD CON HOSPITALIZACIÓN,COPAINALÁ,SEGUNDA NORTE PONIENTE 7   ,29620,-93.21055556,17.09361111,450
CSSSA001672,1,0,1,0.316371679,1,SSA,7,CHIAPAS,1,TUXTLA GUTIERREZ,27,CHIAPA DE CORZO,61,NARCISO MENDOZA,UNIDAD DE CONSULTA EXTERNA,RURAL DE 01 NÚCLEO BÁSICO,NARCISO MENDOZA,NO DISPONIBLE    ,29170,-92.98861111,16.57972222,420
CSSSA001725,0,0,1,0,1,SSA,7,CHIAPAS,3,COMITÁN,30,CHICOMUSELO,1,CHICOMUSELO,UNIDAD DE CONSULTA EXTERNA,RURAL DE 02 NÚCLEOS BÁSICOS,CHICOMUSELO,NO DISPONIBLE    ,30120,-92.285,15.74166667,585
CSSSA001836,3,0,1,0,1,SSA,7,CHIAPAS,9,OCOSINGO,31,CHILÓN,7,AURORA GRANDE,UNIDAD DE CONSULTA EXTERNA,RURAL DE 01 NÚCLEO BÁSICO,AURORA GRANDE,NO DISPONIBLE    ,29940,-92.35555556,17.13333333,1440
CSSSA002010,2,0,1,0,1,SSA,7,CHIAPAS,9,OCOSINGO,31,CHILÓN,237,JUAN SABINES VERAPAZ,UNIDAD DE CONSULTA EXTERNA,RURAL DE 01 NÚCLEO BÁSICO,JUNA SABINES VERAPAZ,NO DISPONIBLE    ,29940,-92.30777778,17.07583333,1360
CSSSA002256,0,0,0,0,0.310866922,SSA,7,CHIAPAS,7,TAPACHULA,32,ESCUINTLA,70,EL TRIUNFO,UNIDAD DE CONSULTA EXTERNA,RURAL DE 02 NÚCLEOS BÁSICOS,EL TRIUNFO,NO DISPONIBLE SIN NÚMERO   ,30600,-92.54472222,15.35194444,300
CSSSA002314,2,0,1,0,1,SSA,7,CHIAPAS,3,COMITÁN,34,FRONTERA COMALAPA,1,FRONTERA COMALAPA,UNIDAD DE CONSULTA EXTERNA,URBANO DE 08 NÚCLEOS BÁSICOS,FRONTERA COMALAPA,NO DISPONIBLE SIN NÚMERO  CENTRO ,30140,-92.14138889,15.65833333,670
CSSSA002331,3,0,1,0,0.997384131,SSA,7,CHIAPAS,3,COMITÁN,34,FRONTERA COMALAPA,14,CIUDAD CUAUHTÉMOC,UNIDAD DE CONSULTA EXTERNA,RURAL DE 01 NÚCLEO BÁSICO,CD. CUAUHTÉMOC,NO DISPONIBLE    ,30150,-92.00416667,15.66694444,720
CSSSA002384,0,0,1,0,0.992317021,SSA,7,CHIAPAS,3,COMITÁN,34,FRONTERA COMALAPA,114,VERAPAZ,UNIDAD DE CONSULTA EXTERNA,RURAL DE 01 NÚCLEO BÁSICO,VERAPAZ,NO DISPONIBLE    ,30154,-92.06444444,15.71416667,700
CSSSA002401,1,1,1,1,1,SSA,7,CHIAPAS,7,TAPACHULA,35,FRONTERA HIDALGO,1,FRONTERA HIDALGO,UNIDAD DE CONSULTA EXTERNA,RURAL DE 01 NÚCLEO BÁSICO,FRONTERA HIDALGO,NO DISPONIBLE SIN NÚMERO   ,30850,-92.17666667,14.77694444,60
CSSSA002430,2,0,1,0.038721573,1,SSA,7,CHIAPAS,7,TAPACHULA,37,HUEHUETÁN,1,HUEHUETÁN,UNIDAD DE CONSULTA EXTERNA,RURAL DE 02 NÚCLEOS BÁSICOS,HUEHUETÁN,NO DISPONIBLE SIN NÚMERO   ,30660,-92.38083333,15.01916667,50
CSSSA002623,3,0,1,0,1,SSA,7,CHIAPAS,7,TAPACHULA,40,HUIXTLA,1,HUIXTLA,UNIDAD DE CONSULTA EXTERNA,URBANO DE 05 NÚCLEOS BÁSICOS,CENTRO DE SALUD URBANO HUIXTLA,NO DISPONIBLE SIN NÚMERO   ,30640,-92.46583333,15.13888889,40
CSSSA002734,0,1,1,0.897620738,1,SSA,7,CHIAPAS,3,COMITÁN,41,LA INDEPENDENCIA,18,EMILIANO ZAPATA,UNIDAD DE CONSULTA EXTERNA,RURAL DE 01 NÚCLEO BÁSICO,EMILIANO ZAPATA,NO DISPONIBLE    ,30170,-91.96638889,16.18111111,1556
CSSSA002816,0,0,1,0,1,SSA,7,CHIAPAS,5,PICHUCALCO,43,IXTACOMITÁN,1,IXTACOMITÁN,UNIDAD DE CONSULTA EXTERNA,RURAL DE 02 NÚCLEOS BÁSICOS,IXTACOMITÁN,JATO SIN NÚMERO  FRACCIONAMIENTO JATO ,29570,-93.095,17.43027778,150
CSSSA003026,2,0,1,0,0.82929343,SSA,7,CHIAPAS,1,TUXTLA GUTIERREZ,46,JIQUIPILAS,513,BENITO JUÁREZ,UNIDAD DE CONSULTA EXTERNA,RURAL DE 01 NÚCLEO BÁSICO,BENITO JUÁREZ,NO DISPONIBLE    ,30430,-93.60944444,16.77861111,734
CSSSA003125,3,0,1,0,1,SSA,7,CHIAPAS,2,SAN CRISTÓBAL DE LAS CASAS,49,LARRÁINZAR,5,BAYALEMO DOS,UNIDAD DE CONSULTA EXTERNA,RURAL DE 01 NÚCLEO BÁSICO,BAYALEMHO DOS,NO DISPONIBLE    ,29860,-92.76555556,16.93194444,1760
CSSSA003615,3,0,1,0,0.979406893,SSA,7,CHIAPAS,10,MOTOZINTLA,53,MAZAPA DE MADERO,7,GRANADOS TALCANAQUE,UNIDAD DE CONSULTA EXTERNA,RURAL DE 01 NÚCLEO BÁSICO,GRANADOS TALCANAQUE,NO DISPONIBLE SIN NÚMERO   ,30920,-92.21222222,15.28388889,2200
CSSSA003726,0,0,1,0,0.993188918,SSA,7,CHIAPAS,10,MOTOZINTLA,57,MOTOZINTLA,1,MOTOZINTLA DE MENDOZA,UNIDAD DE CONSULTA EXTERNA,URBANO DE 04 NÚCLEOS BÁSICOS,MOTOZINTLA DE MENDOZA,NO DISPONIBLE 733  BARRIO EMILIANO ZAPATA ,30900,-92.24805556,15.36416667,1260
CSSSA004443,2,0,1,0,1,SSA,7,CHIAPAS,5,PICHUCALCO,62,OSTUACÁN,19,PLAN DE AYALA,UNIDAD DE CONSULTA EXTERNA,RURAL DE 01 NÚCLEO BÁSICO,PLAN DE AYALA,MORENO GALEANA SIN NÚMERO   ,29550,-93.48638889,17.47416667,60
CSSSA004600,2,1,1,0.998594403,0.999180079,SSA,7,CHIAPAS,6,PALENQUE,65,PALENQUE,1,PALENQUE,UNIDAD DE CONSULTA EXTERNA,URBANO DE 09 NÚCLEOS BÁSICOS,PALENQUE,PROLONGACIÓN JUÁREZ ESQUINA JORGE DE LA VEGA DOMINGUEZ    ,29960,-91.98222222,17.50916667,60
CSSSA004670,1,0,1,0.050346591,1,SSA,7,CHIAPAS,6,PALENQUE,65,PALENQUE,77,NUEVA ESPERANZA 1RA. SECCIÓN,UNIDAD DE CONSULTA EXTERNA,RURAL DE 01 NÚCLEO BÁSICO,NUEVA ESPERANZA 1ª SECCIÓN,KM. 95 CARRETERA VILLAHERMOSA-ESCARCEGA    ,29960,-92.18805556,17.70194444,20
CSSSA004793,2,0,1,0.033052497,1,SSA,7,CHIAPAS,6,PALENQUE,65,PALENQUE,196,SATURNINO RÍOS,UNIDAD DE CONSULTA EXTERNA,RURAL DE 01 NÚCLEO BÁSICO,SATURNINO RÍOS,A UN COSTADO DE LA ESCUELA PRIMARIA    ,29960,-92.19361111,17.62833333,20
CSSSA005032,0,0,1,0,1,SSA,7,CHIAPAS,8,TONALÁ,69,PIJIJIAPAN,3,LAS BRISAS,UNIDAD DE CONSULTA EXTERNA,RURAL DE 01 NÚCLEO BÁSICO,LAS BRISAS,A LA VUELTA DE LA IGLESIA CATÓLICA    ,30540,-93.11694444,15.51888889,6
CSSSA005073,0,0,1,0.433813542,1,SSA,7,CHIAPAS,8,TONALÁ,69,PIJIJIAPAN,21,HERMENEGILDO GALEANA,UNIDAD DE CONSULTA EXTERNA,RURAL DE 01 NÚCLEO BÁSICO,HERMENEGILDO GALEANA,A LA VUELTA DE LA CASA DEL AGENTE MUNICIPAL    ,30540,-93.00722222,15.55388889,50
CSSSA005085,0,0,1,0,1,SSA,7,CHIAPAS,8,TONALÁ,69,PIJIJIAPAN,23,TAMAULIPAS (JOAQUÍN AMARO),UNIDAD DE CONSULTA EXTERNA,RURAL DE 01 NÚCLEO BÁSICO,JOAQUÍN AMARO (EJIDO TAMAULIPAS),FRENTE A LA COOPERATIVA PESQUERA    ,30540,-93.4075,15.77361111,18
CSSSA005131,0,0,1,0,1,SSA,7,CHIAPAS,8,TONALÁ,69,PIJIJIAPAN,42,SAN ISIDRO,UNIDAD DE CONSULTA EXTERNA,RURAL DE 01 NÚCLEO BÁSICO,SAN ISIDRO,GUSTAVO THOMAS SIN NÚMERO   ,30540,-93.35416667,15.74305556,20
CSSSA005266,2,0,1,0,1,SSA,7,CHIAPAS,7,TAPACHULA,71,VILLA COMALTITLÁN,1,VILLA COMALTITLÁN,UNIDAD DE CONSULTA EXTERNA,RURAL DE 03 NÚCLEOS BÁSICOS Y MÁS,VILLA COLMALTITLÁN,CUARTA SUR ENTRE SEGUNDA Y CUARTA ORIENTE ESQUINA CON VÍA DEL FERROCARRIL SIN NÚMERO   ,30620,-92.575,15.21388889,40
CSSSA005341,1,0,1,0,1,SSA,7,CHIAPAS,5,PICHUCALCO,72,PUEBLO NUEVO SOLISTAHUACÁN,1,PUEBLO NUEVO SOLISTAHUACÁN,UNIDAD DE CONSULTA EXTERNA,CENTRO DE SALUD CON HOSPITALIZACIÓN,PUEBLO NUEVO SOLISTAHUACÁN,PRIMERA NORTE Y SEGUNDA PONIENTE   BARRIO GUADALUPE ,29750,-92.89916667,17.15916667,1720
CSSSA005464,2,1,1,1,1,SSA,7,CHIAPAS,5,PICHUCALCO,74,REFORMA,1,REFORMA,UNIDAD DE CONSULTA EXTERNA,CENTRO DE SALUD CON HOSPITALIZACIÓN,REFORMA,NO DISPONIBLE    ,29500,-93.14638889,17.86388889,20
CSSSA005510,0,0,1,0,1,SSA,7,CHIAPAS,2,SAN CRISTÓBAL DE LAS CASAS,75,LAS ROSAS,1,LAS ROSAS,UNIDAD DE CONSULTA EXTERNA,URBANO DE 05 NÚCLEOS BÁSICOS,LAS ROSAS,NO DISPONIBLE SIN NÚMERO   ,30350,-92.37083333,16.3625,1300
CSSSA005645,2,0,1,0,1,SSA,7,CHIAPAS,6,PALENQUE,77,SALTO DE AGUA,1,SALTO DE AGUA,UNIDAD DE CONSULTA EXTERNA,CENTRO DE SALUD CON HOSPITALIZACIÓN,SALTO DE AGUA,NO DISPONIBLE SIN NÚMERO   ,29900,-92.33388889,17.55555556,10
CSSSA005785,0,1,1,1,1,SSA,7,CHIAPAS,2,SAN CRISTÓBAL DE LAS CASAS,78,SAN CRISTÓBAL DE LAS CASAS,1,SAN CRISTÓBAL DE LAS CASAS,UNIDAD DE CONSULTA EXTERNA,URBANO DE 12 NÚCLEOS BÁSICOS Y MÁS,"SAN CRISTÓBAL DE LAS CASAS, CHIAPAS",NO DISPONIBLE SIN NÚMERO   ,29270,-92.63833333,16.73666667,1940
CSSSA005966,0,0,1,0,1,SSA,7,CHIAPAS,10,MOTOZINTLA,80,SILTEPEC,27,SAN ANTONIO LA PINADA,UNIDAD DE CONSULTA EXTERNA,RURAL DE 01 NÚCLEO BÁSICO,SAN ANTONIO LA PINADA,DOMICILIO CONOCIDO    ,30980,-92.32277778,15.61777778,1840
CSSSA006094,3,0,1,0,1,SSA,7,CHIAPAS,5,PICHUCALCO,81,SIMOJOVEL,1,SIMOJOVEL DE ALLENDE,UNIDAD DE CONSULTA EXTERNA,CENTRO DE SALUD CON HOSPITALIZACIÓN,SIMOJOVEL,NO DISPONIBLE 22   ,29820,-92.71416667,17.14,660
CSSSA006263,0,0,1,0,1,SSA,7,CHIAPAS,3,COMITÁN,83,SOCOLTENANGO,1,SOCOLTENANGO,UNIDAD DE CONSULTA EXTERNA,CENTROS DE SALUD CON SERVICIOS AMPLIADOS,SOCOLTENANGO,NO DISPONIBLE SIN NÚMERO  BARRIO EL CAMPO ,30390,-92.35055556,16.24305556,860
CSSSA006333,1,0,1,0,1,SSA,7,CHIAPAS,5,PICHUCALCO,84,SOLOSUCHIAPA,5,CERRO LAS CAMPANAS,UNIDAD DE CONSULTA EXTERNA,RURAL DE 01 NÚCLEO BÁSICO,CERRO DE LAS CAMPANAS,NO DISPONIBLE    ,29580,-92.97277778,17.33333333,620
